Thời Gian,ID Xe,Loại Phương Tiện,Tốc Độ (km/h),Biển Số,Trạng Thái
2026-06-13 13:52:45,44,Xe máy,0,Không rõ,Bình Thường
2026-06-13 13:52:45,1,Ô tô,0,Không rõ,Bình Thường
2026-06-13 13:52:46,42,Xe buýt,0,Không rõ,Bình Thường
2026-06-13 13:52:48,51,Xe máy,0,Không rõ,Bình Thường
2026-06-13 13:52:50,52,Xe máy,0,Không rõ,Bình Thường
2026-06-13 13:52:51,53,Xe buýt,0,Không rõ,Bình Thường
2026-06-13 13:52:53,55,Xe máy,0,Không rõ,Bình Thường
2026-06-13 13:52:53,54,Ô tô,0,Không rõ,Bình Thường
2026-06-13 13:52:54,58,Ô tô,0,Không rõ,Bình Thường
2026-06-13 13:52:55,61,Xe máy,0,Không rõ,Bình Thường
2026-06-13 13:52:56,57,Xe máy,0,Không rõ,Bình Thường
2026-06-13 13:52:57,63,Ô tô,0,Không rõ,Bình Thường
2026-06-13 13:52:59,18,Ô tô,0,Không rõ,Bình Thường
2026-06-13 13:53:01,29,Xe máy,0,Không rõ,Bình Thường
2026-06-13 13:53:02,69,Xe máy,0,Không rõ,Bình Thường
2026-06-13 13:53:03,68,Ô tô,0,Không rõ,Bình Thường
2026-06-13 13:53:04,70,Ô tô,0,Không rõ,Bình Thường
2026-06-13 13:53:06,73,Ô tô,0,Không rõ,Bình Thường
2026-06-13 13:53:07,43,Ô tô,0,Không rõ,Bình Thường
2026-06-13 13:53:07,82,Ô tô,0,Không rõ,Bình Thường
2026-06-13 13:53:09,66,Xe máy,0,Không rõ,Bình Thường
2026-06-13 13:53:09,83,Ô tô,0,Không rõ,Bình Thường
2026-06-13 13:53:10,4,Ô tô,0,Không rõ,Bình Thường
2026-06-13 13:53:11,85,Ô tô,0,Không rõ,Bình Thường
2026-06-13 13:53:12,25,Ô tô,54,Không rõ,Bình Thường
2026-06-13 13:53:16,89,Ô tô,0,Không rõ,Bình Thường
2026-06-13 13:53:17,86,Ô tô,0,Không rõ,Bình Thường
2026-06-13 13:53:19,94,Ô tô,0,Không rõ,Bình Thường
2026-06-13 13:53:21,97,Xe tải,0,Không rõ,Bình Thường
2026-06-13 13:53:22,98,Ô tô,0,Không rõ,Bình Thường
2026-06-13 13:53:22,41,Ô tô,42,Không rõ,Bình Thường
2026-06-13 13:53:23,96,Ô tô,0,Không rõ,Bình Thường
2026-06-13 13:53:23,100,Ô tô,0,Không rõ,Bình Thường
2026-06-13 13:53:25,103,Xe máy,0,Không rõ,Bình Thường
2026-06-13 13:53:26,104,Ô tô,0,Không rõ,Bình Thường
2026-06-13 13:53:27,102,Ô tô,0,Không rõ,Bình Thường
2026-06-13 13:53:28,106,Xe buýt,0,Không rõ,Bình Thường
2026-06-13 13:53:29,108,Xe máy,0,Không rõ,Bình Thường
2026-06-13 13:53:31,56,Ô tô,34,Không rõ,Bình Thường
2026-06-13 13:53:31,112,Xe máy,0,Không rõ,Bình Thường
2026-06-13 13:53:33,110,Ô tô,0,Không rõ,Bình Thường
2026-06-13 13:53:35,114,Xe buýt,0,Không rõ,Bình Thường
2026-06-13 13:53:36,115,Ô tô,0,Không rõ,Bình Thường
2026-06-13 13:53:37,2,Ô tô,0,Không rõ,Bình Thường
2026-06-13 13:53:38,118,Ô tô,0,Không rõ,Bình Thường
2026-06-13 13:53:40,120,Ô tô,0,Không rõ,Bình Thường
2026-06-13 13:53:42,123,Xe máy,0,Không rõ,Bình Thường
2026-06-13 13:53:42,107,Ô tô,45,Không rõ,Ngược Chiều
2026-06-13 13:53:43,125,Xe máy,0,Không rõ,Bình Thường
2026-06-13 13:53:45,49,Ô tô,52,Không rõ,Bình Thường
